text;from;to;moment
Itiniréraire jusqu'a Chaponost depuis Nantes;Nantes;Chaponost;
Depuis Bourgneuf en retz à Les Mureaux;Bourgneuf en retz;Les Mureaux;
Quel est l'itinéraire entre Saint michel sur meurthe et Bayard sur marne;Saint michel sur meurthe;Bayard sur marne;
Ma destination et ma provenance sont Ambès et Le Pont chrétien chabenet;Le Pont chrétien chabenet;Ambès;
Je prends le train Muhlbach sur bruche Tanus;Muhlbach sur bruche;Tanus;
itinéraire de voyage de Cluses vers Saint cyr sur mer;Cluses;Saint cyr sur mer;
Je suis actuellement à Saint germain sur avre et j'aimerais partir à Amboise;Saint germain sur avre;Amboise;
Je cherche le train le plus rapide pour faire Baudemont Évian les bains demain;Baudemont;Évian les bains;demain
Depuis Bouffemont à Vertaizon;Bouffemont;Vertaizon;
Donne moi l'itinéraire pour aller à Montigny les cormeilles en partant de Le Houlme;Le Houlme;Montigny les cormeilles;
Ma provenance et ma destination sont Colleville et Lussac les châteaux;Colleville;Lussac les châteaux;
J'aimerais me rendre sur Patay en partant de Chatellerault;Chatellerault;Patay;
La ligne Montdidier Nérondes;Montdidier;Nérondes;
Je souhaiterai avoir des informations sur le train Ludres Evreux;Ludres;Evreux;
Trouve le chemin pour Chatellerault depuis Avrigny ;Avrigny;Chatellerault;
Je cherche un trajet de Lecelles à Denain;Lecelles;Denain;
Le train Voreppe Aiguebelle;Voreppe;Aiguebelle;
Guide moi de Villers saint paul vers Ligugé;Villers saint paul;Ligugé;
Je suis à Clion et je souhaite me rendre à Bergues;Clion;Bergues;
train Lacapelle viescamp Tréon;Lacapelle viescamp;Tréon;
Je souhaiterai avoir des informations sur le train Sallaumines Varangéville;Sallaumines;Varangéville;
Indique moi le chemin pour Cintegabelle depuis Santes;Santes;Cintegabelle;
Je cherche un trajet de Villeherviers à Orleans mardi soir;Villeherviers;Orleans;mardi soir
Je veux trouver un trajet de Saint agnan à Lempdes sur allagnon;Saint agnan;Lempdes sur allagnon;
le départ et l'arrivée de mon voyage sont Massiac et Wasquehal;Massiac;Wasquehal;
Je me rends à Diarville en partant de La Penne sur huveaune;La Penne sur huveaune;Diarville;
Je souhaiterai avoir des informations sur le train Fleurance Le Quesnoy qui part demain;Fleurance;Le Quesnoy;demain
Je me rends à Ébersviller en partant de Sainte christie;Sainte christie;Ébersviller;
L'arrivée et le départ de mon voyage sont Pont de buis lès quimerch et Issoire;Issoire;Pont de buis lès quimerch;
arrivée Le Perray en yvelines et départ Saint jodard;Saint jodard;Le Perray en yvelines;
Quel trajet pour Trentels Porta;Trentels;Porta;
Quel est l'itinéraire entre Châtillon sur seine et Fains la folie;Châtillon sur seine;Fains la folie;
itinéraire jusqu'a Saint remy en l'eau en partant de Revin;Revin;Saint remy en l'eau;
Le train Rothau Grisolles;Rothau;Grisolles;
Je cherche un trajet de Audun le roman à Macau;Audun le roman;Macau;
J'irai bien à la gare de Comines depuis la gare de Manduel;Manduel;Comines;
je veux partir de Ligugé pour Gerzat;Ligugé;Gerzat;
Je veux aller de Virecourt à Gondrecourt le château vendredi matin;Virecourt;Gondrecourt le château;vendredi matin
Je suis à Nice et je veux aller à Bruges;Nice;Bruges;
Je souhaiterai avoir des informations sur le train Le Cannet des maures La Souterraine qui part mercredi;Le Cannet des maures;La Souterraine;mercredi
Je prends le train Montreuil sous pérouse Blaisy bas;Montreuil sous pérouse;Blaisy bas;
Je cherche le train le plus rapide pour faire Broons Hettange grande;Broons;Hettange grande;
Je souhaiterai avoir des informations sur le train Illiers combray Glos sur risle;Illiers combray;Glos sur risle;
Ma destination et ma provenance sont Bricy et Irigny;Irigny;Bricy;
ils veulent aller de Foëcy jusqu'à Gertwiller;Foëcy;Gertwiller;
Je cherche un train Castelsarrasin Grésy sur aix mardi matin;Castelsarrasin;Grésy sur aix;mardi matin
trajet Saint chamond Étain;Saint chamond;Étain;
Je veux aller de Saint maur des fosses à Valenciennes dimanche après midi;Saint maur des fosses;Valenciennes;dimanche après-midi
Lons le saunier Clérac aujourd'hui;Lons le saunier;Clérac;aujourd'hui
Je souhaiterai avoir des informations sur le train Acheres Hayange;Acheres;Hayange;
je veux partir de Les Salelles pour Chantilly;Les Salelles;Chantilly;
Je partirais de Saint amand longpré pour aller à Viam;Saint amand longpré;Viam;
Ma destination et ma provenance sont Saujon et Rémelfing;Rémelfing;Saujon;
Ma provenance et ma destination sont Decize et Limoges;Decize;Limoges;
Je me rends à Givet en partant de Jarrie;Jarrie;Givet;
Trouve un train partant de Brunoy et allant à La Chapelle sur erdre;Brunoy;La Chapelle sur erdre;
Je veux aller à Libourne depuis Le Thou;Le Thou;Libourne;
train Colroy la roche Obermodern zutzendorf;Colroy la roche;Obermodern zutzendorf;
Je cherche le train le plus rapide pour faire Laguépie Wambrechies;Laguépie;Wambrechies;
L'arrivée et le départ de mon voyage sont Evreux et Lambersart;Lambersart;Evreux;
Je suis actuellement à Epiry et j aimerais partir à Meyrargues jeudi matin;Epiry;Meyrargues;jeudi matin
itinéraire jusqu'a Brens en partant de Agen;Agen;Brens;
Indique moi le chemin pour La Forest landerneau depuis Espéraza;Espéraza;La Forest landerneau;
trajet Aumont aubrac Saint die;Aumont aubrac;Saint die;
Donne moi l'itinéraire pour aller à Saint aubin en partant de Le Puiset;Le Puiset;Saint aubin;
Je veux aller à Saint pol sur ternoise depuis Saint hilaire de riez;Saint hilaire de riez;Saint pol sur ternoise;
Je suis à Hatrize et je souhaite me rendre à Vonnas;Hatrize;Vonnas;
Ma provenance et ma destination sont Mennecy et Châteauneuf sur isère;Mennecy;Châteauneuf sur isère;
Comment me rendre à Fresnoy le grand depuis Cesson sevigne;Cesson sevigne;Fresnoy le grand;
Comment aller de Guillaucourt à Montigny en ostrevent;Guillaucourt;Montigny en ostrevent;
Martigues depuis Audruicq;Audruicq;Martigues;
Ma provenance et ma destination sont Le Monastier pin moriès et Châteaubourg;Le Monastier pin moriès;Châteaubourg;
J'irai bien à la gare de Bedous depuis la gare de Challans;Challans;Bedous;
Je veux aller à Étriché depuis Saint cyr sur loire;Saint cyr sur loire;Étriché;
Je prends le train Saint cergues Val des marais vendredi après midi;Saint cergues;Val des marais;vendredi après-midi
Je suis actuellement à Vic le comte et j aimerais partir à Bitche dans quatre heures;Vic le comte;Bitche;dans quatre heures
Je suis actuellement à Laroquebrou et j aimerais partir à Koenigsmacker;Laroquebrou;Koenigsmacker;
trajet Loisy sur marne Patay;Loisy sur marne;Patay;
Prunay depuis Villeneuve sur allier;Villeneuve sur allier;Prunay;
Je cherche un train Sausheim La Faloise;Sausheim;La Faloise;
Je cherche un train Deuil la barre Luc la primaube;Deuil la barre;Luc la primaube;
Je suis à Chantonnay et je souhaite me rendre à Toul;Chantonnay;Toul;
Je veux me rendre à Feignies en partant de Honnechy;Honnechy;Feignies;
Je souhaiterai avoir des informations sur le train Saint yorre La Forest landerneau qui part mardi matin;Saint yorre;La Forest landerneau;mardi matin
Je souhaiterai avoir des informations sur le train Saint pierre en faucigny Mézy moulins;Saint pierre en faucigny;Mézy moulins;
Comment aller à Wacquemoulin depuis Rilly la montagne;Rilly la montagne;Wacquemoulin;
Lurbe saint christau Margut;Lurbe saint christau;Margut;
ils veulent aller de Saint michel de maurienne jusqu'à La Douze;Saint michel de maurienne;La Douze;
itinéraire jusqu'a Quesnoy sur deûle en partant de Layrac;Layrac;Quesnoy sur deûle;
Je pars de Provins pour aller à Saint rémy de sillé lundi après midi;Provins;Saint rémy de sillé;lundi après-midi
Je pars de Bouchemaine pour aller à Lille;Bouchemaine;Lille;
je vais à Cestas depuis Saint martin d'oney;Saint martin d'oney;Cestas;
ils veulent aller de Denain jusqu'à Pontivy;Denain;Pontivy;
Quel trajet pour Saint prest Pérenchies;Saint prest;Pérenchies;
itinéraire jusqu'a Layrac en partant de Wambaix;Wambaix;Layrac;
itinéraire de voyage de Saint fons vers Wissous;Saint fons;Wissous;
Allons à Lisieux depuis Étais la sauvin;Étais la sauvin;Lisieux;
Guide moi de Berre l'etang vers Sainte christie;Berre l'etang;Sainte christie;
trajet Saint avre Eaubonne;Saint avre;Eaubonne;
j'aimerais me rendre à Parsac en quittant Chalette sur loing;Chalette sur loing;Parsac;
train Patay Compans;Patay;Compans;
Je pars de Les Pavillons sous bois pour aller à Lamballe jeudi soir;Les Pavillons sous bois;Lamballe;jeudi soir
Je cherche un train Le Havre Ronchin samedi après midi;Le Havre;Ronchin;samedi après-midi
je vais à Bourgneuf en retz depuis La Réole;La Réole;Bourgneuf en retz;
lundi soir je partirais de La Houssaye en brie pour aller à Saint cloud;La Houssaye en brie;Saint cloud;lundi soir
demain soir  je vais à Dunkerque depuis Saint leu la foret;Saint leu la foret;Dunkerque;demain soir
J'irai bien à la gare de Saint médard d'eyrans depuis la gare de Onville;Onville;Saint médard d'eyrans;
Donne moi l'itinéraire pour aller à Neuvy sur loire en partant de Wissous;Wissous;Neuvy sur loire;
Trouve un train partant de Capvern et allant à Pontgouin;Capvern;Pontgouin;
Ma provenance et ma destination sont Saint ouen l'aumone et Estrées saint denis;Saint ouen l'aumone;Estrées saint denis;
Trouve un train partant de Saint rambert en bugey et allant à Wambaix;Saint rambert en bugey;Wambaix;
Je prends le train Blonville sur mer Vittel;Blonville sur mer;Vittel;
Comment aller à Noyelles sur mer depuis Autet;Autet;Noyelles sur mer;
train Balsièges Luçon;Balsièges;Luçon;
Je cherche un train Caudiès de fenouillèdes Aiguillon;Caudiès de fenouillèdes;Aiguillon;
Ma destination et ma provenance sont Goncelin et Négrondes;Négrondes;Goncelin;
j'aimerais me rendre à Gorges en quittant Siorac en périgord;Siorac en périgord;Gorges;
je partirais de Eu pour aller à Sainte colombe;Eu;Sainte colombe;
Comment aller de Wizernes à Bois le roi;Wizernes;Bois le roi;
Je voudrais aller de Dorlisheim à Saint paterne racan;Dorlisheim;Saint paterne racan;
Je pars de Bischoffsheim pour aller à Oxelaëre;Bischoffsheim;Oxelaëre;
Je me rends à Bruyères sur oise en partant de Saint pierre les elbeuf;Saint pierre les elbeuf;Bruyères sur oise;
Allons à Vivy depuis Drefféac;Drefféac;Vivy;
Je veux aller de Baule à Tulle;Baule;Tulle;
Caurel Le Péage de roussillon;Caurel;Le Péage de roussillon;
Pithiviers depuis Prémery;Prémery;Pithiviers;
Je cherche un trajet de Avion à Marignane;Avion;Marignane;
bientôt Baudemont Vézelise;Baudemont;Vézelise;bientôt
Comment aller de Saint julien du sault à Lescar;Saint julien du sault;Lescar;
Je cherche un train Sarre union Auvers sur oise;Sarre union;Auvers sur oise;
ils veulent aller de Arles jusqu'à Aix en provence;Arles;Aix en provence;
itinéraire Toulouse Bords;Toulouse;Bords;
Je veux aller de Saint ours à Landerneau;Saint ours;Landerneau;
je veux partir de Croix pour Saint thégonnec;Croix;Saint thégonnec;
lundi  je voudrais aller de Ambronay à Villefranche sur saone;Ambronay;Villefranche sur saone;lundi
Itiniréraire jusqu'a Le Boulou depuis Rombas;Rombas;Le Boulou;
Allons à Gerzat depuis Foix;Foix;Gerzat;
Je prends le train Gemeaux Dourges dans quatre heures;Gemeaux;Dourges;dans quatre heures
Je cherche un trajet de Houilles à Baccarat dans six heures;Houilles;Baccarat;dans six heures
L'arrivée et le départ de mon voyage sont Prémery et Blangy sur ternoise;Blangy sur ternoise;Prémery;
Saint paul de varax depuis Raedersheim;Raedersheim;Saint paul de varax;
Je cherche un trajet de Amilly à Murat mardi après midi;Amilly;Murat;mardi après-midi
Je cherche un train Pérenchies Laroquebrou;Pérenchies;Laroquebrou;
je partirais de Roscoff pour aller à Planès;Roscoff;Planès;
Quel trajet pour Sept saulx Malesherbes;Sept saulx;Malesherbes;
Depuis Lamothe montravel à Montbazon;Lamothe montravel;Montbazon;
Comment me rendre à Villeperdue depuis Montbizot;Montbizot;Villeperdue;
Je prends le train La Ferté imbault Saint martin le beau;La Ferté imbault;Saint martin le beau;
La Forest landerneau Le Theil de bretagne;La Forest landerneau;Le Theil de bretagne;
Indique moi le chemin pour Sommesous depuis Landry;Landry;Sommesous;
dans trois heures  je vais à Ingwiller depuis Dettwiller;Dettwiller;Ingwiller;dans trois heures
La ligne Tonnerre Givors;Tonnerre;Givors;
Depuis Saint gratien à Saint fargeau ponthierry;Saint gratien;Saint fargeau ponthierry;
Quel est l'itinéraire entre Butry sur oise et Compiegne;Butry sur oise;Compiegne;
Donne moi l'itinéraire pour aller à Givors en partant de Montescourt lizerolles;Montescourt lizerolles;Givors;
Ma destination et ma provenance sont Andelot en montagne et Puget ville;Puget ville;Andelot en montagne;
Je souhaiterai avoir des informations sur le train Melun Gertwiller qui part aujourd'hui;Melun;Gertwiller;aujourd'hui
Indique moi le chemin pour Villard bonnot depuis Louvres;Louvres;Villard bonnot;
Allons à Fleurville depuis Saint marcellin;Saint marcellin;Fleurville;
Hayange depuis Plancoët;Plancoët;Hayange;
Trouve un train partant de Trie château et allant à Ligny en barrois;Trie château;Ligny en barrois;
j'aimerais me rendre à Courlandon en quittant Poliénas;Poliénas;Courlandon;
de Saint julien mont denis à Bornel;Saint julien mont denis;Bornel;
Je suis actuellement à Nexon et j'aimerais partir à Amilly;Nexon;Amilly;
trajet Avrechy Vayrac;Avrechy;Vayrac;
Allons à Marnes la coquette depuis Gannes;Gannes;Marnes la coquette;
le départ et l'arrivée de mon voyage sont Val de reuil et Labège;Val de reuil;Labège;
train Lentilly Mommenheim;Lentilly;Mommenheim;
Comment aller de Saint louis à Gudmont villiers;Saint louis;Gudmont villiers;
je vais à Alland'huy et sausseuil depuis Vernon;Vernon;Alland'huy et sausseuil;
Quel trajet pour Arcachon Nevers;Arcachon;Nevers;
Quesnoy le montant Armentieres;Quesnoy le montant;Armentieres;
Quel est l'itinéraire entre Eymoutiers et Saint péray;Eymoutiers;Saint péray;
Je pars de Malause pour aller à Vernaison jeudi après midi;Malause;Vernaison;jeudi après-midi
Quel trajet pour Biarritz Roanne;Biarritz;Roanne;
Bertrichamps Artonges;Bertrichamps;Artonges;
Je veux trouver un trajet de Mézin à Saint saviol;Mézin;Saint saviol;
dans un moment  je voudrais aller de Longueil annel à Montierchaume;Longueil annel;Montierchaume;dans un moment
j'aimerais partir de Reignier pour me rendre à Digoin;Reignier;Digoin;
je veux partir de Les Pavillons sous bois pour Saint etienne du rouvray;Les Pavillons sous bois;Saint etienne du rouvray;
Trouve un train partant de La Marche et allant à Saint aubin;La Marche;Saint aubin;
Le train Bruyères Saillat sur vienne;Bruyères;Saillat sur vienne;
Je pars de Plénée jugon pour aller à Fontpédrouse;Plénée jugon;Fontpédrouse;
Vernet dans cinq heures depuis Saint pierre sur dives;Saint pierre sur dives;Vernet;dans cinq heures
Trouve un train partant de Colombiers et allant à Le Pont de beauvoisin;Colombiers;Le Pont de beauvoisin;
dans quatre heures je partirais de Pont remy pour aller à Neuville sur sarthe;Pont remy;Neuville sur sarthe;dans quatre heures
Comment aller à Appilly depuis Lorient;Lorient;Appilly;
Je pars de Guichen pour aller à Saint romain le puy;Guichen;Saint romain le puy;
Je suis à Chivres en laonnois et je veux aller à Lavaur;Chivres en laonnois;Lavaur;
Trouve un train partant de Aurillac et allant à Pignans;Aurillac;Pignans;
Je pars le mois prochain de Golfech pour aller à Saône;Golfech;Saône;le mois prochain
demain après midi je partirais de Strasbourg pour aller à Massiac;Strasbourg;Massiac;demain après-midi
Le train Frouard La Celle saint cloud;Frouard;La Celle saint cloud;
de Boutigny sur essonne à Lure;Boutigny sur essonne;Lure;
L'arrivée et le départ de mon voyage sont Saint gaudens et Liancourt saint pierre;Liancourt saint pierre;Saint gaudens;
je viens de Dommartin et je veux aller à Frévin capelle;Dommartin;Frévin capelle;
Le train Méré Saint pierre le viger;Méré;Saint pierre le viger;
J'irai bien à la gare de Saint andré le gaz depuis la gare de Les Eyzies de tayac sireuil;Les Eyzies de tayac sireuil;Saint andré le gaz;
Je prends le train Notre dame de gravenchon Bannalec;Notre dame de gravenchon;Bannalec;
Je cherche un trajet de Bassens à Langeac mercredi après midi;Bassens;Langeac;mercredi après-midi
Reichshoffen depuis Le Teil;Le Teil;Reichshoffen;
La ligne Origny en thiérache Le Meux;Origny en thiérache;Le Meux;
Je cherche le train le plus rapide pour faire Neuves maisons Messac demain matin;Neuves maisons;Messac;demain matin
